job_id,surface_form,canonical_name,entity_type,confidence_score,esco_uri,dbpedia_uri,resolution_method
scraped_job_001,Javascript,JavaScript,PROGRAMMING_LANGUAGE,0.95,http://data.europa.eu/esco/skill/javascript,None,ESCO_PRIMARY
scraped_job_001,Git,Git,TOOL,0.75,None,http://dbpedia.org/resource/Git,DBPEDIA_ENRICHMENT
scraped_job_003,Java,Java,PROGRAMMING_LANGUAGE,0.95,http://data.europa.eu/esco/skill/java,http://dbpedia.org/resource/Java,HYBRID_CONFLICT
scraped_job_003,Python,Python,PROGRAMMING_LANGUAGE,0.95,http://data.europa.eu/esco/skill/python,None,ESCO_PRIMARY
scraped_job_003,Node.js,Node.js,FRAMEWORK,0.95,http://data.europa.eu/esco/skill/node-js,http://dbpedia.org/resource/Node.js,HYBRID_CONFLICT
scraped_job_003,Go,Go (game),PROGRAMMING_LANGUAGE,0.75,None,http://dbpedia.org/resource/Go_(game),DBPEDIA_ENRICHMENT
scraped_job_003,AWS,AWS,TOOL,0.0,None,None,UNRESOLVED
scraped_job_003,GCP,GCP,TOOL,0.0,None,None,UNRESOLVED
scraped_job_003,Azure,Azure,TOOL,0.0,None,None,UNRESOLVED
scraped_job_004,JavaScript,JavaScript,PROGRAMMING_LANGUAGE,0.95,http://data.europa.eu/esco/skill/javascript,http://dbpedia.org/resource/JavaScript,HYBRID_CONFLICT
scraped_job_004,Java,Java,PROGRAMMING_LANGUAGE,0.95,http://data.europa.eu/esco/skill/java,http://dbpedia.org/resource/Java,HYBRID_CONFLICT
scraped_job_004,Python,Python,PROGRAMMING_LANGUAGE,0.95,http://data.europa.eu/esco/skill/python,None,ESCO_PRIMARY
scraped_job_004,Go,Go (game),PROGRAMMING_LANGUAGE,0.75,None,http://dbpedia.org/resource/Go_(game),DBPEDIA_ENRICHMENT
scraped_job_004,AWS,AWS,TOOL,0.0,None,None,UNRESOLVED
scraped_job_004,Azure,Azure,TOOL,0.0,None,None,UNRESOLVED
scraped_job_005,JavaScript,JavaScript,PROGRAMMING_LANGUAGE,0.95,http://data.europa.eu/esco/skill/javascript,http://dbpedia.org/resource/JavaScript,HYBRID_CONFLICT
scraped_job_005,Java,Java,PROGRAMMING_LANGUAGE,0.95,http://data.europa.eu/esco/skill/java,http://dbpedia.org/resource/Java,HYBRID_CONFLICT
scraped_job_005,Node.js,Node.js,FRAMEWORK,0.95,http://data.europa.eu/esco/skill/node-js,http://dbpedia.org/resource/Node.js,HYBRID_CONFLICT
scraped_job_005,Docker,Fremantle Football Club,TOOL,0.75,None,http://dbpedia.org/resource/Fremantle_Football_Club,DBPEDIA_ENRICHMENT
scraped_job_005,Kubernetes,Kubernetes,TOOL,0.75,None,http://dbpedia.org/resource/Kubernetes,DBPEDIA_ENRICHMENT
scraped_job_005,Vue,Vue,FRAMEWORK,0.0,None,None,UNRESOLVED
scraped_job_005,Angular,Angular,FRAMEWORK,0.0,None,None,UNRESOLVED
scraped_job_005,AWS,AWS,TOOL,0.0,None,None,UNRESOLVED
scraped_job_005,GCP,GCP,TOOL,0.0,None,None,UNRESOLVED
scraped_job_005,Azure,Azure,TOOL,0.0,None,None,UNRESOLVED
scraped_job_007,Java,Java,PROGRAMMING_LANGUAGE,0.95,http://data.europa.eu/esco/skill/java,http://dbpedia.org/resource/Java,HYBRID_CONFLICT
scraped_job_007,Python,Python,PROGRAMMING_LANGUAGE,0.95,http://data.europa.eu/esco/skill/python,None,ESCO_PRIMARY
scraped_job_007,JavaScript,JavaScript,PROGRAMMING_LANGUAGE,0.95,http://data.europa.eu/esco/skill/javascript,http://dbpedia.org/resource/JavaScript,HYBRID_CONFLICT
scraped_job_007,React,React,FRAMEWORK,0.95,http://data.europa.eu/esco/skill/react,http://dbpedia.org/resource/React_Music_Limited,HYBRID_CONFLICT
scraped_job_007,Angular,Angular,FRAMEWORK,0.0,None,None,UNRESOLVED
scraped_job_007,AWS,AWS,TOOL,0.0,None,None,UNRESOLVED
scraped_job_008,Java,Java,PROGRAMMING_LANGUAGE,0.95,http://data.europa.eu/esco/skill/java,http://dbpedia.org/resource/Java,HYBRID_CONFLICT
scraped_job_008,Python,Python,PROGRAMMING_LANGUAGE,0.95,http://data.europa.eu/esco/skill/python,None,ESCO_PRIMARY
scraped_job_008,JavaScript,JavaScript,PROGRAMMING_LANGUAGE,0.95,http://data.europa.eu/esco/skill/javascript,http://dbpedia.org/resource/JavaScript,HYBRID_CONFLICT
scraped_job_008,React,React,FRAMEWORK,0.95,http://data.europa.eu/esco/skill/react,http://dbpedia.org/resource/React_Music_Limited,HYBRID_CONFLICT
scraped_job_008,Go,Go (game),PROGRAMMING_LANGUAGE,0.75,None,http://dbpedia.org/resource/Go_(game),DBPEDIA_ENRICHMENT
scraped_job_008,Docker,Fremantle Football Club,TOOL,0.75,None,http://dbpedia.org/resource/Fremantle_Football_Club,DBPEDIA_ENRICHMENT
scraped_job_008,Kubernetes,Kubernetes,TOOL,0.75,None,http://dbpedia.org/resource/Kubernetes,DBPEDIA_ENRICHMENT
scraped_job_008,Angular,Angular,FRAMEWORK,0.0,None,None,UNRESOLVED
scraped_job_008,AWS,AWS,TOOL,0.0,None,None,UNRESOLVED
